source_country,target_country,avg_tone,positive_ratio,article_count,source
United States,United States,-1.5906,27.69,98225,api
United States,China,-1.2837,27.77,22413,api
United States,Russia,-3.2142,8.97,15076,api
United States,Germany,-1.6136,26.54,13363,api
United States,France,-1.4828,30.05,14416,api
United States,United Kingdom,-1.2808,32.62,17053,api
United States,Japan,-0.2802,39.75,13229,api
United States,India,-0.7391,35.86,13616,api
United States,Brazil,-0.302,40.7,5838,api
United States,Canada,-0.502,41.93,25811,api
United States,Italy,-0.2359,44.52,17352,api
United States,South Korea,-1.172,30.69,6477,api
United States,Australia,-0.4433,36.85,12765,api
United States,Spain,-1.3318,30.94,6544,api
United States,Mexico,-2.1975,19.02,25413,api
United States,Indonesia,-1.5258,25.61,2655,api
United States,Netherlands,-0.8801,41.43,3285,api
United States,Turkey,-2.2053,23.72,4608,api
United States,Saudi Arabia,-3.9183,8.24,8155,api
United States,Argentina,-0.9462,32.59,3771,api
United States,Poland,-1.3515,28.4,2387,api
United States,Iran,-3.9081,3.45,38251,api
United States,Egypt,-2.4317,16.39,3843,api
United States,Thailand,-1.1651,29.7,2374,api
United States,Pakistan,-3.9747,11.67,3761,api
United States,Nigeria,-2.0448,26.8,1496,api
United States,Ukraine,-3.0557,11.38,11716,api
United States,Vietnam,-1.327,30.51,4153,api
United States,Malaysia,-0.815,35.63,1670,api
United States,Colombia,-1.8854,30.33,3812,api
United States,South Africa,-0.8814,30.03,5135,api
United States,Bangladesh,-1.9892,22.9,1201,api
United States,Philippines,-1.0999,34.56,1551,api
United States,Israel,-3.7127,5.97,26927,api
United States,Sweden,-0.6948,44.15,4059,api
United States,Norway,-0.1488,43.88,3831,api
United States,Denmark,-0.996,25.68,3030,api
United States,Finland,0.0795,51.04,2680,api
United States,Portugal,-0.8295,36.2,1525,api
United States,Greece,-1.1063,39.86,2559,api
United States,Belgium,-0.8205,35.15,2390,api
United States,Czech Republic,-0.7181,36.83,972,api
United States,Romania,-1.191,32.36,686,api
United States,Hungary,-1.829,23.28,1860,api
United States,Chile,-0.3894,42.56,1795,api
United States,Peru,-1.8859,26.25,3611,api
United States,New Zealand,-0.4429,38.62,3294,api
United States,Iraq,-4.3292,2.97,9722,api
United States,Qatar,-4.1551,5.86,8393,api
United States,Singapore,-0.4996,35.63,3817,api
China,United States,-1.0912,32.23,22872,api
China,China,1.4586,65.06,69944,api
China,Russia,-0.6581,37.15,4250,api
China,Germany,0.5677,53.43,9503,api
China,France,0.0724,45.87,4129,api
China,United Kingdom,-0.4472,40.31,6006,api
China,Japan,-0.3486,40.73,6170,api
China,India,0.2996,50.19,5447,api
China,Brazil,0.7874,56.64,1529,api
China,Canada,-0.1866,44.34,3302,api
China,Italy,0.7725,55.69,5850,api
China,South Korea,0.9305,59.48,4852,api
China,Australia,1.8313,68.67,5631,api
China,Spain,0.8937,58.83,2174,api
China,Mexico,0.2865,49.4,2255,api
China,Indonesia,1.072,58.96,1445,api
China,Netherlands,1.0452,57.79,1682,api
China,Turkey,-1.1868,30.36,1087,api
China,Saudi Arabia,-1.6634,26.84,1863,api
China,Argentina,0.5784,53.96,593,api
China,Poland,-0.1466,40.98,532,api
China,Iran,-3.0034,10.4,7028,api
China,Egypt,-0.1543,46.03,1601,api
China,Thailand,1.0495,60.46,3859,api
China,Pakistan,-0.235,46.62,2630,api
China,Nigeria,0.1257,46.63,1973,api
China,Ukraine,-1.6457,21.7,1719,api
China,Vietnam,1.0374,58.8,9595,api
China,Malaysia,1.4092,65.01,1652,api
China,Colombia,-0.9814,36.55,539,api
China,South Africa,1.2193,60.69,1628,api
China,Bangladesh,1.0479,59.84,1148,api
China,Philippines,0.1393,44.04,1199,api
China,Israel,-3.3825,7.98,5028,api
China,Sweden,0.1527,46.62,622,api
China,Norway,0.0929,44.54,1163,api
China,Denmark,-0.9235,29.15,614,api
China,Finland,0.3856,52.38,905,api
China,Portugal,0.7074,57.05,475,api
China,Greece,0.0918,47.31,1264,api
China,Belgium,0.2336,44.64,578,api
China,Czech Republic,1.2345,60.51,1322,api
China,Romania,0.9575,57.2,3479,api
China,Hungary,1.5868,60.71,593,api
China,Chile,2.7027,79.55,10467,api
China,Peru,1.3158,61.52,1102,api
China,New Zealand,0.4372,50.65,1226,api
China,Iraq,-1.9698,21.26,4572,api
China,Qatar,-2.9226,14.44,1551,api
Russia,United States,-2.5184,16.53,3424,api
Russia,China,-1.428,27.06,4608,api
Russia,Germany,-2.2808,16.51,3362,api
Russia,France,-2.1152,18.82,3246,api
Russia,United Kingdom,-4.0015,11.96,7577,api
Russia,Japan,-1.0231,30.77,1430,api
Russia,India,-2.2122,22.64,1970,api
Russia,Brazil,-1.6922,30.2,510,api
Russia,Canada,-1.4334,29.33,1156,api
Russia,Italy,-0.6749,35.96,2236,api
Russia,South Korea,-1.6534,26.56,704,api
Russia,Australia,-1.9811,20.65,581,api
Russia,Spain,-2.4696,19.59,822,api
Russia,Mexico,-3.0475,17.0,653,api
Russia,Indonesia,-1.8733,23.18,371,api
Russia,Netherlands,-1.621,25.07,694,api
Russia,Turkey,-1.9617,23.07,1539,api
Russia,Saudi Arabia,-2.8565,12.93,1408,api
Russia,Argentina,-1.2372,29.77,215,api
Russia,Iran,-3.6239,7.49,9721,api
Russia,Egypt,-1.5267,28.68,767,api
Russia,Thailand,-2.9342,21.93,684,api
Russia,Pakistan,-4.3708,9.63,623,api
Russia,Nigeria,-4.0308,13.85,130,api
Russia,Ukraine,-3.2665,12.94,15098,api
Russia,Vietnam,-1.4447,30.53,452,api
Russia,Malaysia,-2.431,21.84,174,api
Russia,Colombia,-4.3779,11.07,262,api
Russia,South Africa,-1.7304,24.57,460,api
Russia,Bangladesh,-3.7394,16.9,142,api
Russia,Philippines,-2.771,22.14,131,api
Russia,Israel,-3.7643,6.03,6520,api
Russia,Sweden,-1.7921,25.86,611,api
Russia,Norway,-1.0333,30.54,812,api
Russia,Denmark,-1.476,22.71,458,api
Russia,Finland,-2.2191,17.2,913,api
Russia,Portugal,-1.0079,30.71,127,api
Russia,Greece,-1.822,25.24,309,api
Russia,Belgium,-1.9167,21.32,408,api
Russia,Czech Republic,-1.776,23.53,442,api
Russia,Romania,-2.4628,12.62,309,api
Russia,Hungary,-2.4878,14.99,1841,api
Russia,Chile,-1.2045,26.52,132,api
Russia,Peru,-1.6529,25.62,121,api
Russia,New Zealand,-1.6513,24.34,152,api
Russia,Iraq,-3.7473,4.05,1013,api
Russia,Qatar,-3.5635,6.15,1448,api
Russia,Singapore,-1.6545,26.18,191,api
Germany,United States,-2.1311,16.78,5094,api
Germany,China,-1.2774,23.7,2329,api
Germany,Russia,-3.3741,6.04,8679,api
Germany,Germany,-1.6765,21.11,46409,api
Germany,France,-2.3355,18.45,6400,api
Germany,United Kingdom,-2.1603,19.04,10585,api
Germany,Japan,-0.3993,39.19,814,api
Germany,India,-1.4978,26.08,2067,api
Germany,Brazil,-1.2781,30.77,1014,api
Germany,Canada,-1.2841,28.72,2932,api
Germany,Italy,-1.7693,26.24,4516,api
Germany,South Korea,-1.7567,26.75,1114,api
Germany,Australia,-1.429,22.41,2655,api
Germany,Spain,-1.8145,22.92,3477,api
Germany,Mexico,-2.5632,16.37,1637,api
Germany,Indonesia,-2.0468,21.57,598,api
Germany,Netherlands,-1.404,25.58,2604,api
Germany,Turkey,-2.8675,14.92,2875,api
Germany,Saudi Arabia,-3.1225,10.09,2032,api
Germany,Argentina,-0.9088,25.14,537,api
Germany,Poland,-2.1948,17.92,2238,api
Germany,Iran,-3.9514,2.49,7662,api
Germany,Egypt,-2.7885,13.62,837,api
Germany,Thailand,-2.3961,20.51,356,api
Germany,Pakistan,-6.2012,4.66,343,api
Germany,Nigeria,-3.0615,18.08,260,api
Germany,Ukraine,-3.4081,6.66,8614,api
Germany,Vietnam,-0.4652,35.65,230,api
Germany,Malaysia,1.5775,59.15,71,api
Germany,Colombia,0.3636,55.84,231,api
Germany,South Africa,-0.9888,29.21,801,api
Germany,Bangladesh,-3.3447,7.77,206,api
Germany,Philippines,-1.2166,29.06,1796,api
Germany,Israel,-3.7668,5.0,4542,api
Germany,Sweden,-1.028,29.48,1893,api
Germany,Norway,-1.6815,22.26,2022,api
Germany,Denmark,-1.6018,19.35,1695,api
Germany,Finland,-1.2117,30.27,1044,api
Germany,Portugal,-1.9071,36.28,226,api
Germany,Greece,-1.6712,23.95,952,api
Germany,Belgium,-1.0825,25.0,1600,api
Germany,Czech Republic,-1.7106,20.67,774,api
Germany,Romania,-2.3497,19.09,592,api
Germany,Hungary,-3.1136,13.23,1814,api
Germany,Chile,-0.9091,23.46,341,api
Germany,Peru,-1.8933,28.0,75,api
Germany,New Zealand,-3.0888,10.66,1351,api
Germany,Iraq,-4.1896,1.75,2337,api
Germany,Qatar,-3.7308,6.04,2002,api
Germany,Singapore,-1.8503,29.52,735,api
France,United States,-2.1406,15.4,7954,api
France,China,-1.4039,21.32,2087,api
France,Russia,-2.8743,7.4,1798,api
France,Germany,-1.6076,21.47,1891,api
France,France,-1.7965,23.63,19404,api
France,United Kingdom,-1.7423,20.47,3038,api
France,Japan,-0.8608,29.86,941,api
France,India,-1.4388,24.05,973,api
France,Brazil,-0.9481,26.95,501,api
France,Canada,-1.4777,26.91,940,api
France,Italy,-0.8966,32.73,1595,api
France,South Korea,-1.3942,22.14,515,api
France,Australia,-1.6019,24.46,736,api
France,Spain,-1.7144,24.55,1397,api
France,Mexico,-2.4794,18.66,461,api
France,Indonesia,-1.9945,13.19,182,api
France,Netherlands,-1.6561,22.45,628,api
France,Turkey,-2.182,15.77,577,api
France,Saudi Arabia,-2.6486,9.12,592,api
France,Argentina,-1.4053,24.56,338,api
France,Poland,-1.5855,21.08,427,api
France,Iran,-3.1485,5.04,3474,api
France,Egypt,-2.1849,15.33,411,api
France,Thailand,-1.0044,26.87,227,api
France,Pakistan,-3.5128,4.7,234,api
France,Nigeria,-2.3642,14.45,173,api
France,Ukraine,-2.9418,7.05,1873,api
France,Vietnam,-1.02,30.0,200,api
France,Malaysia,-1.6949,24.58,118,api
France,Colombia,-2.6952,14.97,187,api
France,South Africa,-1.6131,22.62,442,api
France,Bangladesh,-2.0938,12.5,32,api
France,Philippines,-2.25,19.17,120,api
France,Israel,-3.4492,3.76,2529,api
France,Sweden,-1.8982,18.55,442,api
France,Norway,-0.7898,31.63,490,api
France,Denmark,-0.9436,21.94,319,api
France,Finland,-0.7208,32.86,283,api
France,Portugal,-1.04,32.0,25,api
France,Greece,-1.3409,25.65,308,api
France,Belgium,-1.3928,28.3,1166,api
France,Czech Republic,-0.9353,27.65,170,api
France,Romania,-1.3373,22.29,166,api
France,Hungary,-2.3433,11.19,268,api
France,Chile,-0.7739,26.09,115,api
France,Peru,-1.5321,28.44,109,api
France,New Zealand,-0.995,29.35,201,api
France,Iraq,-3.4293,2.6,615,api
France,Qatar,-3.0031,5.56,648,api
France,Singapore,-0.9836,28.28,244,api
United Kingdom,United States,-2.4018,18.45,9840,api
United Kingdom,China,-1.8605,24.19,3927,api
United Kingdom,Russia,-3.3145,6.02,3653,api
United Kingdom,Germany,-2.4986,18.3,3999,api
United Kingdom,France,-2.4031,20.17,4706,api
United Kingdom,United Kingdom,-0.9182,30.2,49219,api
United Kingdom,Japan,-0.1006,41.05,1720,api
United Kingdom,India,-1.6714,27.86,2161,api
United Kingdom,Brazil,-0.5427,36.64,715,api
United Kingdom,Canada,-1.0799,31.04,3067,api
United Kingdom,Italy,0.881,59.12,2429,api
United Kingdom,South Korea,-2.5152,22.72,559,api
United Kingdom,Australia,-1.4619,24.94,4367,api
United Kingdom,Spain,-0.6113,39.66,1919,api
United Kingdom,Mexico,-1.7266,33.67,1280,api
United Kingdom,Indonesia,-1.9767,14.95,515,api
United Kingdom,Netherlands,-2.1364,25.97,1078,api
United Kingdom,Turkey,-2.3434,18.01,1188,api
United Kingdom,Saudi Arabia,-2.7591,8.12,2561,api
United Kingdom,Argentina,0.2434,50.26,378,api
United Kingdom,Poland,-1.403,26.97,660,api
United Kingdom,Iran,-3.4568,1.84,9837,api
United Kingdom,Egypt,-2.0454,20.19,837,api
United Kingdom,Thailand,-1.4742,23.31,755,api
United Kingdom,Pakistan,-4.5093,12.97,1133,api
United Kingdom,Nigeria,-3.0026,19.79,379,api
United Kingdom,Ukraine,-2.6177,11.94,3359,api
United Kingdom,Vietnam,-1.6713,15.4,1162,api
United Kingdom,Malaysia,-1.3782,36.1,579,api
United Kingdom,Colombia,-1.2465,28.37,215,api
United Kingdom,South Africa,-0.6528,33.89,962,api
United Kingdom,Bangladesh,-2.3168,24.87,382,api
United Kingdom,Philippines,-1.8137,27.33,161,api
United Kingdom,Israel,-3.4681,2.6,6971,api
United Kingdom,Sweden,-2.6244,25.17,1009,api
United Kingdom,Norway,-1.0566,25.28,724,api
United Kingdom,Denmark,-1.2173,24.28,865,api
United Kingdom,Finland,-1.5987,25.39,319,api
United Kingdom,Portugal,-0.3506,44.88,693,api
United Kingdom,Greece,-1.4408,28.05,524,api
United Kingdom,Belgium,-1.5025,34.6,607,api
United Kingdom,Czech Republic,-0.3287,32.17,143,api
United Kingdom,Romania,-0.6176,35.88,170,api
United Kingdom,Hungary,-2.0746,30.6,402,api
United Kingdom,Chile,-0.3399,50.33,153,api
United Kingdom,Peru,0.8346,59.4,133,api
United Kingdom,New Zealand,-0.605,30.67,1190,api
United Kingdom,Iraq,-3.9755,1.41,2202,api
United Kingdom,Qatar,-3.1595,3.67,3787,api
United Kingdom,Singapore,-1.2802,21.57,1488,api
Japan,United States,0.0255,47.13,2003,api
Japan,China,-0.3524,37.46,2469,api
Japan,Russia,-1.7642,19.27,742,api
Japan,Germany,-0.2147,42.31,624,api
Japan,France,0.1662,49.28,698,api
Japan,United Kingdom,-0.2947,40.85,940,api
Japan,Japan,0.2099,46.52,13837,api
Japan,India,0.1404,48.46,648,api
Japan,Brazil,0.1215,45.86,181,api
Japan,Canada,-0.1963,42.47,438,api
Japan,Italy,0.5023,50.38,663,api
Japan,South Korea,0.2999,51.14,1187,api
Japan,Australia,-0.0324,41.67,432,api
Japan,Spain,0.721,53.19,423,api
Japan,Mexico,-0.7243,33.33,243,api
Japan,Indonesia,0.5062,55.62,160,api
Japan,Netherlands,-0.6322,29.31,174,api
Japan,Turkey,-0.8195,31.58,133,api
Japan,Saudi Arabia,-1.4749,22.35,179,api
Japan,Argentina,0.141,53.85,78,api
Japan,Poland,-0.6528,34.72,72,api
Japan,Iran,-2.7862,6.4,968,api
Japan,Egypt,-0.6329,34.18,79,api
Japan,Thailand,-0.6172,35.26,5290,api
Japan,Pakistan,-2.7229,14.46,83,api
Japan,Nigeria,-1.0769,30.77,26,api
Japan,Ukraine,-2.128,15.24,492,api
Japan,Vietnam,-0.4702,41.67,168,api
Japan,Malaysia,0.9244,57.98,119,api
Japan,Colombia,-0.3906,46.88,64,api
Japan,South Africa,0.2857,53.0,217,api
Japan,Bangladesh,-0.7692,32.69,52,api
Japan,Israel,-2.8347,8.33,720,api
Japan,Sweden,-1.0,25.0,124,api
Japan,Norway,0.0349,38.37,86,api
Japan,Denmark,-0.9121,24.18,91,api
Japan,Finland,-0.3012,38.55,83,api
Japan,Portugal,0.5269,49.46,93,api
Japan,Greece,-0.1935,29.03,62,api
Japan,Belgium,0.383,46.81,47,api
Japan,Czech Republic,-0.1351,39.19,74,api
Japan,Romania,-1.8,40.0,5,api
Japan,Hungary,-0.4722,44.44,36,api
Japan,Chile,0.8136,54.24,59,api
Japan,Peru,0.3333,44.44,27,api
Japan,New Zealand,-0.1818,41.56,77,api
Japan,Iraq,-3.7315,6.48,108,api
Japan,Qatar,-2.6383,11.7,94,api
Japan,Singapore,0.6809,52.13,188,api
India,China,-1.4483,28.61,6201,api
India,Russia,-2.7034,18.57,3490,api
India,Germany,-0.9018,38.75,1538,api
India,France,-0.2401,47.6,2420,api
India,United Kingdom,-0.9374,37.17,4455,api
India,Japan,-0.4029,41.18,3378,api
India,India,-0.3135,43.38,56453,api
India,Brazil,0.4286,54.21,1057,api
India,Canada,-1.2272,33.67,2412,api
India,Italy,-0.3559,41.82,1332,api
India,South Korea,-0.9407,33.42,1484,api
India,Australia,-0.3032,41.13,2487,api
India,Spain,-0.0393,48.79,662,api
India,Mexico,-2.5464,20.33,787,api
India,Netherlands,0.1741,49.13,804,api
India,Turkey,-2.2041,25.43,637,api
India,Saudi Arabia,-2.8968,18.14,2635,api
India,Argentina,0.1085,41.02,295,api
India,Poland,-0.5417,38.89,216,api
India,Iran,-4.0479,7.18,10685,api
India,Egypt,-1.7403,27.71,693,api
India,Pakistan,-3.0809,17.5,6154,api
India,Nigeria,-3.0878,24.39,205,api
India,Ukraine,-2.6596,15.81,1607,api
India,Vietnam,-0.1928,43.35,669,api
India,Malaysia,0.8977,58.7,1046,api
India,Colombia,-2.0556,26.85,108,api
India,South Africa,-0.3218,39.03,1678,api
India,Bangladesh,-1.5793,27.97,3321,api
India,Philippines,-0.6107,44.66,262,api
India,Israel,-3.7605,11.56,7770,api
India,Sweden,-0.8694,44.49,245,api
India,Norway,-0.1424,49.01,302,api
India,Denmark,-0.3897,38.24,272,api
India,Finland,1.375,61.2,384,api
India,Portugal,-1.4326,34.04,141,api
India,Greece,0.9268,60.35,396,api
India,Belgium,-0.1868,43.41,182,api
India,Czech Republic,-2.6339,36.61,112,api
India,Romania,0.7349,53.01,83,api
India,Hungary,-0.6842,36.84,152,api
India,Chile,-0.1847,40.13,157,api
India,Peru,-0.6541,37.59,133,api
India,New Zealand,0.0494,41.6,1173,api
India,Iraq,-4.4141,3.72,1478,api
India,Qatar,-3.4646,11.92,2400,api
India,Singapore,-0.0909,46.36,1331,api
Brazil,United States,-2.1164,16.87,919,api
Brazil,China,-1.5888,26.17,107,api
Brazil,Russia,-2.5264,13.95,1233,api
Brazil,Germany,-1.2609,27.91,989,api
Brazil,France,-1.1932,30.34,1615,api
Brazil,United Kingdom,-1.8835,22.36,1391,api
Brazil,Japan,-0.4574,36.17,752,api
Brazil,India,-0.4662,39.67,1021,api
Brazil,Brazil,-0.4738,39.31,21719,api
Brazil,Canada,-1.3943,31.11,733,api
Brazil,Italy,-0.4622,41.53,1004,api
Brazil,South Korea,0.0588,55.29,170,api
Brazil,Australia,-0.9335,30.24,496,api
Brazil,Spain,-0.9006,35.79,855,api
Brazil,Mexico,-1.2611,31.53,1015,api
Brazil,Indonesia,-0.8325,29.95,197,api
Brazil,Netherlands,-0.3074,43.46,283,api
Brazil,Turkey,-1.5831,24.18,674,api
Brazil,Saudi Arabia,-2.6565,11.63,559,api
Brazil,Argentina,-0.7109,34.57,1695,api
Brazil,Poland,-1.2416,34.27,178,api
Brazil,Iran,-3.2685,5.25,3106,api
Brazil,Egypt,-1.2996,28.79,257,api
Brazil,Pakistan,-4.1884,7.97,138,api
Brazil,Nigeria,-2.7079,19.1,89,api
Brazil,Ukraine,-2.8985,7.92,808,api
Brazil,Vietnam,-1.9452,18.72,219,api
Brazil,Malaysia,-1.3143,31.43,70,api
Brazil,Colombia,-0.7945,33.51,579,api
Brazil,South Africa,-0.9863,32.19,146,api
Brazil,Bangladesh,-1.25,25.0,4,api
Brazil,Philippines,-2.5664,25.66,113,api
Brazil,Israel,-2.3284,20.9,134,api
Brazil,Sweden,-1.6111,26.54,162,api
Brazil,Norway,-0.2585,39.83,236,api
Brazil,Denmark,-1.2704,22.45,196,api
Brazil,Finland,-1.2407,29.63,108,api
Brazil,Portugal,-0.1966,42.37,819,api
Brazil,Greece,-0.8059,36.47,170,api
Brazil,Belgium,-0.7716,36.42,162,api
Brazil,Czech Republic,0.2609,43.48,46,api
Brazil,Romania,-1.1622,29.73,37,api
Brazil,Hungary,-0.7987,33.12,154,api
Brazil,Chile,-2.1364,15.91,44,api
Brazil,Peru,-2.16,16.0,25,api
Brazil,New Zealand,-0.6897,37.93,29,api
Brazil,Iraq,-3.7428,1.44,556,api
Brazil,Qatar,-3.2901,9.92,131,api
Brazil,Singapore,-0.7838,29.73,185,api
Canada,United States,-1.1224,30.17,7938,api
Canada,China,-0.1379,42.54,2734,api
Canada,Russia,-2.3078,13.68,1111,api
Canada,Germany,-0.4359,40.38,1491,api
Canada,France,-1.0499,34.13,1922,api
Canada,United Kingdom,-1.2787,28.19,1245,api
Canada,Japan,0.224,51.58,1107,api
Canada,India,-1.2136,28.29,1011,api
Canada,Brazil,0.4432,54.02,361,api
Canada,Canada,-0.3263,40.39,22992,api
Canada,Italy,0.5657,58.04,1902,api
Canada,South Korea,-0.483,41.52,501,api
Canada,Australia,-0.3616,39.48,1297,api
Canada,Spain,-0.7895,37.09,399,api
Canada,Mexico,-1.4055,26.15,1778,api
Canada,Indonesia,-1.5303,24.24,132,api
Canada,Netherlands,-0.15,49.38,320,api
Canada,Turkey,-1.4812,32.59,451,api
Canada,Saudi Arabia,-2.71,10.8,500,api
Canada,Argentina,-0.2385,51.38,218,api
Canada,Poland,-0.4541,47.03,185,api
Canada,Egypt,-1.7232,26.2,271,api
Canada,Thailand,1.3054,66.5,203,api
Canada,Pakistan,-3.5088,13.27,226,api
Canada,Nigeria,-0.8766,44.81,154,api
Canada,Ukraine,-2.1756,17.06,1008,api
Canada,Vietnam,-0.4573,42.66,293,api
Canada,Malaysia,0.823,47.79,113,api
Canada,Colombia,-1.2128,39.36,282,api
Canada,South Africa,0.4274,52.23,358,api
Canada,Bangladesh,-1.1029,27.94,68,api
Canada,Philippines,-0.125,44.64,112,api
Canada,Israel,-2.9112,8.47,1712,api
Canada,Sweden,-0.4775,37.32,844,api
Canada,Norway,-0.4472,36.43,398,api
Canada,Denmark,-0.0331,41.1,635,api
Canada,Finland,0.5954,55.14,865,api
Canada,Portugal,1.0379,66.67,132,api
Canada,Greece,-1.2143,35.0,140,api
Canada,Belgium,0.2229,50.6,166,api
Canada,Czech Republic,-0.8721,27.33,172,api
Canada,Romania,-0.8226,38.71,62,api
Canada,Hungary,-2.2174,15.22,92,api
Canada,Chile,0.5366,60.16,246,api
Canada,Peru,-0.4148,44.89,176,api
Canada,New Zealand,0.2872,48.11,397,api
Canada,Iraq,-3.3394,4.28,607,api
Canada,Qatar,-2.9439,9.12,570,api
Canada,Singapore,-0.0766,41.63,209,api
Italy,United States,-1.5603,26.42,13838,api
Italy,China,-0.5001,38.01,4165,api
Italy,Russia,-3.1583,8.33,120,api
Italy,Germany,-0.5218,39.39,4245,api
Italy,France,-0.8782,38.67,5206,api
Italy,United Kingdom,-1.416,28.64,4082,api
Italy,Japan,0.3996,47.59,1679,api
Italy,India,-0.4175,40.42,673,api
Italy,Brazil,0.3203,52.81,1102,api
Italy,Canada,-0.5794,44.61,1650,api
Italy,Italy,-0.131,46.04,43565,api
Italy,South Korea,-2.1357,33.57,140,api
Italy,Australia,-0.2189,39.59,1220,api
Italy,Spain,-0.7457,39.54,3075,api
Italy,Mexico,-1.2777,34.66,958,api
Italy,Indonesia,0.0906,46.31,298,api
Italy,Netherlands,-0.2823,45.65,379,api
Italy,Turkey,-1.3893,28.53,1472,api
Italy,Saudi Arabia,-2.4555,15.68,472,api
Italy,Argentina,0.2599,50.46,985,api
Italy,Poland,-0.1557,41.63,944,api
Italy,Iran,-3.36,8.6,6722,api
Italy,Egypt,-0.8779,32.82,655,api
Italy,Thailand,0.0723,49.74,567,api
Italy,Pakistan,-5.0896,7.23,346,api
Italy,Nigeria,-2.1,50.0,10,api
Italy,Ukraine,-2.2708,16.71,2843,api
Italy,Vietnam,-3.3,0.0,10,api
Italy,Malaysia,0.6545,61.26,191,api
Italy,Colombia,-1.4071,31.73,312,api
Italy,South Africa,-0.305,45.13,636,api
Italy,Bangladesh,-2.3404,19.15,47,api
Italy,Philippines,-0.6094,41.67,192,api
Italy,Israel,-3.2924,9.99,5348,api
Italy,Sweden,-0.5445,42.81,911,api
Italy,Norway,0.4961,55.38,1282,api
Italy,Denmark,-0.3219,44.69,584,api
Italy,Finland,-0.2194,43.04,474,api
Italy,Portugal,-0.3094,42.9,669,api
Italy,Greece,-0.4909,44.77,1157,api
Italy,Belgium,-0.1396,43.05,1461,api
Italy,Czech Republic,0.3839,50.8,435,api
Italy,Romania,-0.4596,42.73,557,api
Italy,Hungary,-1.1563,30.65,659,api
Italy,Chile,0.2888,54.66,322,api
Italy,Peru,-0.1053,52.63,247,api
Italy,New Zealand,-0.125,45.16,248,api
Italy,Iraq,-3.4608,5.37,1098,api
Italy,Qatar,-2.5957,16.88,1410,api
Italy,Singapore,0.7171,57.89,304,api
South Korea,United States,-0.7957,36.51,13414,api
South Korea,China,-1.1144,31.95,3408,api
South Korea,Russia,-2.465,16.67,714,api
South Korea,Germany,-0.6246,45.56,1047,api
South Korea,France,-0.4109,49.52,937,api
South Korea,United Kingdom,-1.4881,26.95,1551,api
South Korea,Japan,-0.6199,36.52,8589,api
South Korea,India,-2.189,25.19,1159,api
South Korea,Brazil,0.2692,49.45,364,api
South Korea,Canada,-0.7734,34.4,843,api
South Korea,Italy,0.2152,47.96,1789,api
South Korea,South Korea,-0.5795,36.5,7864,api
South Korea,Australia,-0.6922,35.88,510,api
South Korea,Spain,0.7859,69.68,808,api
South Korea,Mexico,-1.2569,29.17,288,api
South Korea,Indonesia,0.1678,52.4,292,api
South Korea,Netherlands,-0.4236,38.61,373,api
South Korea,Saudi Arabia,-2.3571,23.04,560,api
South Korea,Argentina,0.6375,55.0,80,api
South Korea,Egypt,-1.8349,18.35,109,api
South Korea,Nigeria,-2.05,25.0,20,api
South Korea,Ukraine,-3.0959,9.38,469,api
South Korea,Malaysia,0.0057,50.86,175,api
South Korea,Philippines,0.0691,49.47,376,api
South Korea,Israel,-3.9721,4.27,1758,api
South Korea,Sweden,-0.4667,33.89,180,api
South Korea,Norway,0.2732,45.9,183,api
South Korea,Finland,-1.2113,35.21,71,api
South Korea,Portugal,-0.6087,41.3,46,api
South Korea,Greece,-1.5125,23.75,80,api
South Korea,Belgium,-0.9901,32.67,101,api
South Korea,Czech Republic,-0.3832,34.58,107,api
South Korea,Hungary,-0.398,43.88,98,api
South Korea,Chile,1.22,54.0,50,api
South Korea,Peru,-0.1321,45.28,53,api
South Korea,New Zealand,0.3241,44.44,108,api
South Korea,Iraq,-3.8547,4.21,475,api
South Korea,Qatar,-3.7327,10.81,333,api
Australia,United States,-1.9658,21.21,4238,api
Australia,China,-0.7113,32.17,4115,api
Australia,Russia,-3.3214,11.14,1086,api
Australia,Germany,-0.7864,37.14,824,api
Australia,India,-1.5993,28.4,1148,api
Australia,Canada,-0.8391,37.09,1572,api
Australia,Italy,0.4877,50.82,972,api
Australia,South Korea,-1.2055,26.07,798,api
Australia,Australia,-1.2288,30.11,31813,api
Australia,Spain,-0.6043,37.29,700,api
Australia,Mexico,-1.6577,27.59,482,api
Australia,Indonesia,-0.9919,41.87,492,api
Australia,Netherlands,-0.8592,38.83,206,api
Australia,Turkey,-2.0055,20.55,365,api
Australia,Saudi Arabia,-3.185,8.33,600,api
Australia,Argentina,0.0273,52.73,220,api
Australia,Poland,-0.9381,32.74,113,api
Australia,Iran,-3.6519,4.62,3160,api
Australia,Pakistan,-4.7193,10.23,342,api
Australia,Nigeria,-3.7097,12.9,124,api
Australia,Ukraine,-3.2807,8.47,944,api
Australia,Vietnam,-1.8475,29.18,610,api
Australia,Malaysia,0.1917,55.42,240,api
Australia,Colombia,-0.7869,44.26,61,api
Australia,South Africa,-1.6261,20.75,583,api
Australia,Bangladesh,-4.2679,6.22,209,api
Australia,Philippines,-0.7111,44.94,405,api
Australia,Sweden,-0.9568,34.88,301,api
Australia,Norway,-0.4377,36.65,281,api
Australia,Denmark,-1.1374,22.52,262,api
Australia,Finland,-0.4857,34.29,105,api
Australia,Portugal,-2.5321,22.94,109,api
Australia,Belgium,0.2294,44.95,109,api
